source_release,FY,period,period_status,output_series_id,output_label,row_role,formula,source_rows,source_cells,observed_value,calculated_value,residual,residual_abs,status,missing_inputs,source_kind
PREBU26,2001,FY2001,ACTUAL,gross_fed_revenue,Gross FED revenue,aggregate,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,40; 41; 42,B40; B41; B42,989.5585841,989.5585841000001,-1.1368683772161603e-13,1.1368683772161603e-13,reconciled,,official_source_formula_assertion
PREBU26,2001,FY2001,ACTUAL,gross_mvr_revenue,Gross MVR revenue,aggregate,mr1_revenue + mr2_revenue + coo_revenue,48; 49; 50,B48; B49; B50,180.74,180.74,0.0,0.0,reconciled,,official_source_formula_assertion
PREBU26,2001,FY2001,ACTUAL,gross_ruc_revenue,Gross RUC revenue,aggregate,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,28; 29; 30; 31; 32; 33,B28; B29; B30; B31; B32; B33,556.677429315556,556.6774293155554,5.684341886080801e-13,5.684341886080801e-13,reconciled,,official_source_formula_assertion
PREBU26,2001,FY2001,ACTUAL,mvr_revenue_net_admin_coo,MVR revenues net of admin fees and COO,aggregate,mr1_revenue + mr2_revenue - mvr_admin_revenue,48; 49; 52,B48; B49; B52,148.312,148.31199999999998,2.842170943040401e-14,2.842170943040401e-14,reconciled,,official_source_formula_assertion
PREBU26,2001,FY2001,ACTUAL,net_fed_revenue,Net FED revenue,aggregate,gross_fed_revenue - fed_refunds,43; 44,B43; B44,970.466139655556,970.4661396555556,4.547473508864641e-13,4.547473508864641e-13,reconciled,,official_source_formula_assertion
PREBU26,2001,FY2001,ACTUAL,net_mvr_revenue,Net MVR revenue,aggregate,mvr_revenue_net_admin_coo - mvr_refunds,53; 54,B53; B54,147.893,147.893,0.0,0.0,reconciled,,official_source_formula_assertion
PREBU26,2001,FY2001,ACTUAL,ruc_revenue_net_admin,RUC revenues net of admin fees,aggregate,gross_ruc_revenue - ruc_admin_revenue,34; 35,B34; B35,546.121429315556,546.1214293155559,1.1368683772161603e-13,1.1368683772161603e-13,reconciled,,official_source_formula_assertion
PREBU26,2001,FY2001,ACTUAL,total_admin_fees,Total admin fees,aggregate,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,35; 52; 50,B35; B52; B50,42.984,42.984,0.0,0.0,reconciled,,official_source_formula_assertion
PREBU26,2001,FY2001,ACTUAL,total_fed_ruc_net_revenue,Total RUC+PED revenue,aggregate,net_fed_revenue + total_ruc_net_revenue,45; 37,B45; B37,1493.231124526667,1493.231124526667,0.0,0.0,reconciled,,derived_dashboard_subtotal
PREBU26,2001,FY2001,ACTUAL,total_gross_revenue,Total gross revenues,aggregate,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,34; 43; 51; 58,B34; B43; B51; B58,1726.97601341556,1726.9760134155558,4.092726157978177e-12,4.092726157978177e-12,reconciled,,official_source_formula_assertion
PREBU26,2001,FY2001,ACTUAL,total_nltf_net_revenue,Total NLTF revenue,aggregate,total_revenue_net_admin - total_refunds,63; 64,B63; B64,1641.12412452667,1641.124124526671,-1.1368683772161603e-12,1.1368683772161603e-12,reconciled,,official_source_formula_assertion
PREBU26,2001,FY2001,ACTUAL,total_refunds,Total refunds,aggregate,ruc_refunds + fed_refunds + mvr_refunds,33; 44; 54,B33; B44; B54,42.8678888888889,42.8678888888888,9.947598300641403e-14,9.947598300641403e-14,reconciled,,official_source_formula_assertion
